title,genres,director,overview,text_stopword,text_clean
Harvard Man,['Drama'],James Toback,"College has always been a time for experimentation, sexual, cultural and otherwise. ""Harvard Man"" plays out against a background of love, sex, basketball, crime and experimentation. Action and philosophy in young people's quest to discover their true identity.","['college', 'always', 'time', 'experimentation', 'sexual', 'cultural', 'otherwise', 'harvard', 'man', 'play', 'background', 'love', 'sex', 'basketball', 'crime', 'experimentation', 'action', 'philosophy', 'young', 'people', 'quest', 'discover', 'true', 'identity']",college always time experimentation sexual cultural otherwise harvard man play background love sex basketball crime experimentation action philosophy young people quest discover true identity
Le Havre,"['Drama', 'Comedy']",Aki Kaurismäki,"Marcel Marx, a former bohemian and struggling author, has given up his literary ambitions and relocated to the port city Le Havre. He leads a simple life based around his wife Arletty, his favourite bar and his not too profitable profession as a shoeshiner. As Arletty suddenly becomes seriously ill, Marcel's path crosses with an underage illegal immigrant from Africa, who needs Marcel's help to hide from the police.","['marcel', 'marx', 'former', 'bohemian', 'struggle', 'author', 'give', 'literary', 'ambition', 'relocate', 'port', 'city', 'le', 'havre', 'lead', 'simple', 'life', 'base', 'around', 'wife', 'arletty', 'favourite', 'bar', 'profitable', 'profession', 'shoeshiner', 'arletty', 'suddenly', 'become', 'seriously', 'ill', 'marcel', 'path', 'cross', 'underage', 'illegal', 'immigrant', 'africa', 'need', 'marcel', 'help', 'hide', 'police']",marcel marx former bohemian struggle author give literary ambition relocate port city havre lead simple life base around wife arletty favourite bar profitable profession shoeshiner arletty suddenly become seriously ill marcel path cross underage illegal immigrant africa need marcel help hide police
Irreversible,"['Drama', 'Thriller', 'Crime']",Gaspar Noé,"Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass. Her boyfriend and ex-lover take matters into their own hands by hiring two criminals to help them find the rapist so that they can exact revenge. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything.","['event', 'course', 'one', 'traumatic', 'night', 'paris', 'unfold', 'reversechronological', 'order', 'beautiful', 'alex', 'brutally', 'rap', 'beat', 'stranger', 'underpass', 'boyfriend', 'exlover', 'take', 'matter', 'hand', 'hire', 'two', 'criminal', 'help', 'find', 'rapist', 'exact', 'revenge', 'simultaneously', 'beautiful', 'terrible', 'examination', 'destructive', 'nature', 'cause', 'effect', 'time', 'destroy', 'everything']",event course one traumatic night paris unfold reversechronological order beautiful alex brutally rap beat stranger underpass boyfriend exlover take matter hand hire two criminal help find rapist exact revenge simultaneously beautiful terrible examination destructive nature cause effect time destroy everything
R100,"['Comedy', 'Drama']",Hitoshi Matsumoto,Ruthless dominatrixes pursue a mild-mannered salesman who wants to get out of his unbreakable contract with a secret bondage club.,"['ruthless', 'dominatrix', 'pursue', 'mildmannered', 'salesman', 'want', 'get', 'unbreakable', 'contract', 'secret', 'bondage', 'club']",ruthless dominatrix pursue mildmannered salesman want get unbreakable contract secret bondage club
Rang De Basanti,['Drama'],Rakeysh Omprakash Mehra,"A young idealistic English filmmaker, Sue, arrives in India to make a film on Indian revolutionaries Bhagat Singh, Chandrashekhar Azad and their contemporaries and their fight for freedom from the British Raj. Owing to a lack of funds, she recruits students from Delhi University to act in her docu-drama. She finds DJ, who passed out five years back but still wants to be a part of the University because he doesn't think there's too much out there in the real world to look forward to. Karan, the son of Industrialist Rajnath Singhania, who shares an uncomfortable relationship with his father, but continues to live off him, albeit very grudgingly. Aslam, is a middle class Muslim boy, who lives in the by-lanes near Jama Masjid, poet, philosopher and guide to his friends. Sukhi, the group's baby, innocent, vulnerable and with a weakness for only one thing - girls. Laxman Pandey...","['young', 'idealistic', 'english', 'filmmaker', 'sue', 'arrive', 'india', 'make', 'film', 'indian', 'revolutionary', 'bhagat', 'singh', 'chandrashekhar', 'azad', 'contemporary', 'fight', 'freedom', 'british', 'raj', 'owe', 'lack', 'fund', 'recruit', 'student', 'delhi', 'university', 'act', 'docudrama', 'find', 'dj', 'pass', 'five', 'year', 'back', 'still', 'want', 'part', 'university', 'doesnt', 'think', 'much', 'real', 'world', 'look', 'forward', 'karan', 'son', 'industrialist', 'rajnath', 'singhania', 'share', 'uncomfortable', 'relationship', 'father', 'continue', 'live', 'albeit', 'grudgingly', 'aslam', 'middle', 'class', 'muslim', 'boy', 'live', 'bylanes', 'near', 'jama', 'masjid', 'poet', 'philosopher', 'guide', 'friend', 'sukhi', 'group', 'baby', 'innocent', 'vulnerable', 'weakness', 'one', 'thing', 'girl', 'laxman', 'pandey']",young idealistic english filmmaker sue arrive india make film indian revolutionary bhagat singh chandrashekhar azad contemporary fight freedom british raj owe lack fund recruit student delhi university act docudrama find pass five year back still want part university doesnt think much real world look forward karan son industrialist rajnath singhania share uncomfortable relationship father continue live albeit grudgingly aslam middle class muslim boy live bylanes near jama masjid poet philosopher guide friend sukhi group baby innocent vulnerable weakness one thing girl laxman pandey
Animals,['Drama'],Collin Schiffli,"ANIMALS tells the story of Jude and Bobbie: a young couple that exist somewhere between homelessness and the fantasy of their imaginations. Though they masterfully con and steal in an attempt to stay one step ahead of their addiction, they are ultimately forced to face the reality of their situation when one of them gets hospitalized.","['animal', 'tell', 'story', 'jude', 'bobbie', 'young', 'couple', 'exist', 'somewhere', 'homelessness', 'fantasy', 'imagination', 'though', 'masterfully', 'con', 'steal', 'attempt', 'stay', 'one', 'step', 'ahead', 'addiction', 'ultimately', 'force', 'face', 'reality', 'situation', 'one', 'get', 'hospitalize']",animal tell story jude bobbie young couple exist somewhere homelessness fantasy imagination though masterfully con steal attempt stay one step ahead addiction ultimately force face reality situation one get hospitalize
Salvation Boulevard,"['Comedy', 'Thriller', 'Action']",George Ratliff,Set in the world of mega-churches in which a former Deadhead-turned-born again-Christian finds himself on the run from fundamentalist members of his mega-church who will do anything to protect their larger-than-life pastor.,"['set', 'world', 'megachurches', 'former', 'deadheadturnedborn', 'againchristian', 'find', 'run', 'fundamentalist', 'member', 'megachurch', 'anything', 'protect', 'largerthanlife', 'pastor']",set world megachurches former deadheadturnedborn againchristian find run fundamentalist member megachurch anything protect largerthanlife pastor
The Ten,['Comedy'],David Wain,"Ten stories, each inspired by one of the ten commandments.","['ten', 'story', 'inspire', 'one', 'ten', 'commandment']",ten story inspire one ten commandment
A Room for Romeo Brass,"['Drama', 'Comedy', 'Foreign']",Shane Meadows,"Two twelve-year-old boys, Romeo and Gavin, undergo an extraordinary test of character and friendship when Morell, a naive but eccentric and dangerous stranger, comes between them. Morell befriends with the two boys and later asks them to help him pursue Romeo's beautiful elder sister. He gradually becomes more violent after she rejects him.","['two', 'twelveyearold', 'boy', 'romeo', 'gavin', 'undergo', 'extraordinary', 'test', 'character', 'friendship', 'morell', 'naive', 'eccentric', 'dangerous', 'stranger', 'come', 'morell', 'befriends', 'two', 'boy', 'late', 'ask', 'help', 'pursue', 'romeo', 'beautiful', 'elder', 'sister', 'gradually', 'become', 'violent', 'reject']",two twelveyearold boy romeo gavin undergo extraordinary test character friendship morell naive eccentric dangerous stranger come morell befriends two boy late ask help pursue romeo beautiful elder sister gradually become violent reject
Headhunters,"['Thriller', 'Crime']",Morten Tyldum,An accomplished headhunter risks everything to obtain a valuable painting owned by a former mercenary..,"['accomplished', 'headhunter', 'risk', 'everything', 'obtain', 'valuable', 'painting', 'former', 'mercenary']",accomplished headhunter risk everything obtain valuable painting former mercenary
Grabbers,"['Science Fiction', 'Comedy', 'Thriller']",Jon Wright,"Something sinister has come to the shores of Erin Island, unbeknownst to the quaint population of this sleepy fishing village resting somewhere off Ireland’s coast. First, some fishermen go missing. Then there is the rash of whale carcasses suddenly washing up on the beach. When the murders start, it’s up to two mismatched cops – an irresponsible alcoholic and his new partner, a by-the-book woman from the mainland – to protect the townsfolk from the giant, bloodsucking, tentacled aliens that prey upon them. Their only weapon, they discover, is booze. If they want to survive the creatures’ onslaught, everyone will have to get very, very drunk!","['something', 'sinister', 'come', 'shore', 'erin', 'island', 'unbeknownst', 'quaint', 'population', 'sleepy', 'fishing', 'village', 'rest', 'somewhere', 'ireland', 'coast', 'first', 'fisherman', 'go', 'miss', 'rash', 'whale', 'carcass', 'suddenly', 'wash', 'beach', 'murder', 'start', 'two', 'mismatched', 'cop', 'irresponsible', 'alcoholic', 'new', 'partner', 'bythebook', 'woman', 'mainland', 'protect', 'townsfolk', 'giant', 'bloodsucking', 'tentacled', 'alien', 'prey', 'upon', 'weapon', 'discover', 'booze', 'want', 'survive', 'creature', 'onslaught', 'everyone', 'get', 'drunk']",something sinister come shore erin island unbeknownst quaint population sleepy fishing village rest somewhere ireland coast first fisherman miss rash whale carcass suddenly wash beach murder start two mismatched cop irresponsible alcoholic new partner bythebook woman mainland protect townsfolk giant bloodsucking tentacled alien prey upon weapon discover booze want survive creature onslaught everyone get drunk
